Date,Team,Opponent,Competition,Result,Goals
2010-04-01,Los Angeles,Chivas USA,MLS,W 2-0,0
2010-04-10,Los Angeles,Houston,MLS,W 0-2,0
2010-04-17,Los Angeles,Salt Lake,MLS,W 2-1,0
2010-04-24,Los Angeles,Kansas City,MLS,D 0-0,0
2010-05-01,Los Angeles,Philadelphia,MLS,W 3-1,0
2010-05-05,Los Angeles,Colorado,MLS,W 0-1,0
2010-05-08,Los Angeles,Seattle,MLS,W 0-4,1
2010-05-15,Los Angeles,Toronto,MLS,D 0-0,0
2010-05-29,USA,Turkey,Friendly,W 2-1,0
2010-06-05,USA,Australia,Friendly,W 3-1,0
2010-06-12,USA,England,World Cup,D 1-1,0
2010-06-18,USA,Slovenia,World Cup,D 2-2,1
2010-06-23,USA,Algeria,World Cup,W 1-0,1
2010-06-26,USA,Ghana,World Cup,L 1-2,1
2010-07-04,Los Angeles,Seattle,MLS,W 3-1,0
2010-07-18,Los Angeles,DC United,MLS,W 1-2,1
2010-07-22,Los Angeles,San Jose,MLS,D 2-2,1
2010-07-27,Los Angeles,Puerto Rico,CONCACAF CL,L 1-4,0
2010-07-28,MLS All-Star,Man Utd,All-Star,L 2-5,0
2010-08-01,Los Angeles,Chicago,MLS,L 2-3,2
2010-08-04,Los Angeles,Puerto Rico,CONCACAF CL,W 1-2,0
2010-08-10,USA,Brazil,Friendly,L 0-2,0
2010-08-14,Los Angeles,NY Red Bulls,MLS,W 0-1,0
2010-08-21,Los Angeles,San Jose,MLS,L 1-0,0
2010-08-28,Los Angeles,Kansas City,MLS,L 0-2,0
2010-09-04,Los Angeles,Chicago,MLS,D 1-1,0
2010-09-11,Los Angeles,Columbus,MLS,W 3-1,0
2010-09-18,Los Angeles,DC United,MLS,W 2-1,2
2010-09-24,Los Angeles,NY Red Bulls,MLS,L 0-2,0
2010-10-03,Los Angeles,Chivas USA,MLS,W 1-2,0
2010-10-07,Los Angeles,Philadelphia,MLS,W 0-1,0
2010-10-16,Los Angeles,Colorado,MLS,L 1-3,0
2010-10-24,Los Angeles,Dallas,MLS,W 2-1,0
2010-10-31,Los Angeles,Seattle,MLS,W 0-1,0
2010-11-07,Los Angeles,Seattle,MLS,W 2-1,0
2010-11-14,Los Angeles,Dallas,MLS,L 0-3,0
2011-03-15,Los Angeles,Seattle,MLS,W 0-1,0
2011-03-20,Los Angeles,New England,MLS,D 1-1,0
2011-03-26,USA,Argentina,Friendly,D 1-1,0
2011-03-29,USA,Paraguay,Friendly,L 0-1,0
2011-04-02,Los Angeles,Philadelphia,MLS,W 1-0,0
2011-04-23,Los Angeles,Portland,MLS,W 3-0,2
2011-05-01,Los Angeles,Dallas,MLS,L 2-1,1
2011-05-07,Los Angeles,NY Red Bulls,MLS,D 1-1,1
2011-05-11,Los Angeles,Philadelphia,MLS,D 1-1,1
2011-05-14,Los Angeles,Kansas City,MLS,W 4-1,2
2011-05-21,Los Angeles,Chivas USA,MLS,W 0-1,0
2011-05-25,Los Angeles,Houston,MLS,W 1-0,1
2011-05-28,Los Angeles,New England,MLS,W 0-1,0
2011-06-07,USA,Canada,Gold Cup,W 2-0,0
2011-06-11,USA,Panama,Gold Cup,L 1-2,0
2011-06-14,USA,Guadeloupe,Gold Cup,W 0-1,0
2011-06-19,USA,Jamaica,Gold Cup,W 0-2,0
2011-06-22,USA,Panama,Gold Cup,W 1-0,0
2011-06-25,USA,Mexico,Gold Cup,L 2-4,1
2011-07-04,Los Angeles,Seattle,MLS,D 0-0,0
2011-07-09,Los Angeles,Chicago,MLS,W 2-1,1
2011-07-13,Los Angeles,Seattle,US Open Cup,L 1-3,0
2011-07-16,Los Angeles,Real Madrid,WFC,L 1-4,0
2011-07-20,Los Angeles,Columbus,MLS,W 1-0,0
2011-07-30,Los Angeles,Vancouver,MLS,W 0-4,2
2011-08-03,Los Angeles,Portland,MLS,L 3-0,0
2011-08-06,Los Angeles,Dallas,MLS,W 3-1,0
2011-08-10,USA,Mexico,Friendly,D 1-1,0
2011-08-16,Los Angeles,CD Motagua,CONCACAF CL,W 2-0,1
2011-08-20,Los Angeles,San Jose,MLS,W 2-0,0
2011-08-25,Los Angeles,Alajuelense,CONCACAF CL,W 2-0,0
2011-09-02,USA,Costa Rica,Friendly,L 0-1,0
2011-09-05,Los Angeles,Kansas City,MLS,D 2-2,0
2011-09-09,Los Angeles,Colorado,MLS,W 1-0,1
2011-09-13,Los Angeles,Morelia,CONCACAF CL,L 2-1,0
2011-09-17,Los Angeles,Vancouver,MLS,W 3-0,0
2011-09-21,Los Angeles,Alajuelense,CONCACAF CL,L 1-0,0
2011-09-24,Los Angeles,Columbus,MLS,W 0-1,0
2011-09-28,Los Angeles,Morelia,CONCACAF CL,W 2-1,0
2011-10-01,Los Angeles,Salt Lake,MLS,W 2-1,0
2011-10-20,Los Angeles,CD Motagua,CONCACAF CL,W 0-1,0
2011-10-30,Los Angeles,NY Red Bulls,MLS,W 0-1,0
2011-11-03,Los Angeles,NY Red Bulls,MLS,W 2-1,1
2011-11-06,Los Angeles,Salt Lake,MLS,W 3-1,1
2011-11-20,Los Angeles,Houston,MLS,W 1-0,1
2012-01-04,Everton,Bolton,EPL,L 1-2,0
2012-01-07,Everton,Tamworth,FA Cup,W 2-0,0
2012-01-11,Everton,Tottenham,EPL,L 2-0,0
2012-01-14,Everton,Aston Villa,EPL,D 1-1,0
2012-01-21,Everton,Blackburn,EPL,D 1-1,0
2012-01-27,Everton,Fulham,FA Cup,W 2-1,0
2012-01-31,Everton,Man City,EPL,W 1-0,0
2012-02-04,Everton,Wigan,EPL,D 1-1,0
2012-02-11,Everton,Chelsea,EPL,W 2-0,0
2012-03-07,Los Angeles,Toronto,CONCACAF CL,D 2-2,1
2012-03-10,Los Angeles,Salt Lake,MLS,L 1-3,0
2012-03-14,Los Angeles,Toronto,CONCACAF CL,L 1-2,0
2012-03-18,Los Angeles,DC United,MLS,W 3-1,0
2012-04-07,Los Angeles,Kansas City,MLS,L 1-0,0
2012-04-14,Los Angeles,Portland,MLS,W 3-1,1
2012-04-21,Los Angeles,Colorado,MLS,W 1-2,1
2012-04-28,Los Angeles,Dallas,MLS,D 1-1,0
2012-05-02,Los Angeles,Seattle,MLS,L 2-0,0
2012-05-05,Los Angeles,NY Red Bulls,MLS,L 0-1,0
2012-05-12,Los Angeles,Montreal,MLS,D 1-1,0
2012-05-19,Los Angeles,Chivas USA,MLS,L 1-0,0
2012-05-26,USA,Scotland,Friendly,W 5-1,3
2012-05-30,USA,Brazil,Friendly,L 1-4,0
2012-06-03,USA,Canada,Friendly,D 0-0,0
2012-06-08,USA,Antigua and,WCQ,W 3-1,0
2012-06-12,USA,Guatemala,WCQ,D 1-1,0
2012-06-17,Los Angeles,Portland,MLS,W 1-0,0
2012-06-20,Los Angeles,Salt Lake,MLS,W 2-3,2
2012-06-23,Los Angeles,Vancouver,MLS,W 3-0,1
2012-06-30,Los Angeles,San Jose,MLS,L 4-3,1
2012-07-04,Los Angeles,Philadelphia,MLS,L 1-2,0
2012-07-08,Los Angeles,Chicago,MLS,W 0-2,0
2012-07-14,Los Angeles,Portland,MLS,W 3-5,1
2012-07-18,Los Angeles,Vancouver,MLS,D 2-2,0
2012-07-21,Los Angeles,Chivas USA,MLS,W 3-1,2
2012-07-25,MLS All-Star,Chelsea,All-Star,W 3-2,0
2012-08-02,Los Angeles,Real Madrid,WFC,L 1-5,0
2012-08-05,Los Angeles,Seattle,MLS,L 4-0,0
2012-08-12,Los Angeles,Chivas USA,MLS,W 0-4,0
2012-08-15,USA,Mexico,Friendly,W 0-1,0
2012-09-14,Los Angeles,Colorado,MLS,W 2-0,0
2012-09-19,Los Angeles,Puerto Rico,CONCACAF CL,D 0-0,0
2012-09-22,Los Angeles,Toronto,MLS,W 4-2,0
2012-09-30,Los Angeles,Colorado,MLS,D 1-1,0
2012-10-06,Los Angeles,Salt Lake,MLS,L 1-2,0
2012-10-28,Los Angeles,Seattle,MLS,W 1-0,0
2012-11-01,Los Angeles,Vancouver,MLS,W 2-1,1
2012-11-04,Los Angeles,San Jose,MLS,L 0-1,0
2012-11-07,Los Angeles,San Jose,MLS,W 1-3,0
2012-11-11,Los Angeles,Seattle,MLS,W 3-0,0
2012-12-01,Los Angeles,Houston,MLS,W 3-1,1
2013-03-30,Los Angeles,Toronto,MLS,D 2-2,0
2013-04-03,Los Angeles,Monterrey,CONCACAF CL,L 1-2,0
2013-04-10,Los Angeles,Monterrey,CONCACAF CL,L 1-0,0
2013-04-13,Los Angeles,Dallas,MLS,L 1-0,0
2013-04-20,Los Angeles,Kansas City,MLS,W 2-0,1
2013-05-05,Los Angeles,Houston,MLS,L 0-1,0
2013-05-11,Los Angeles,Vancouver,MLS,L 3-1,0
2013-05-15,Los Angeles,Philadelphia,MLS,W 1-4,1
2013-05-19,Los Angeles,NY Red Bulls,MLS,L 1-0,0
2013-05-26,Los Angeles,Seattle,MLS,W 4-0,0
2013-06-02,Los Angeles,New England,MLS,L 5-0,0
2013-06-08,Los Angeles,Salt Lake,MLS,L 3-1,1
2013-06-19,Los Angeles,Portland,MLS,D 0-0,0
2013-06-23,Los Angeles,Chivas USA,MLS,W 0-1,0
2013-06-29,Los Angeles,San Jose,MLS,L 3-2,0
2013-07-05,USA,Guatemala,Friendly,W 6-0,2
2013-07-09,USA,Belize,Gold Cup,W 1-6,1
2013-07-13,USA,Cuba,Gold Cup,W 4-1,1
2013-07-16,USA,Costa Rica,Gold Cup,W 1-0,0
2013-07-21,USA,El Salvador,Gold Cup,W 5-1,1
2013-07-24,USA,Honduras,Gold Cup,W 3-1,2
2013-07-28,USA,Panama,Gold Cup,W 1-0,0
2013-07-31,MLS All-Star,AS Roma,All-Star,L 1-3,0
2013-08-03,Los Angeles,Juventus,Champions Cup,W 1-3,1
2013-08-07,Los Angeles,Milan,Champions Cup,L 0-2,0
2013-08-11,Los Angeles,Dallas,MLS,D 3-3,3
2013-08-17,Los Angeles,Salt Lake,MLS,W 4-2,0
2013-08-20,Los Angeles,Cartaginés,Conf CL,W 2-0,0
2013-08-24,Los Angeles,Vancouver,MLS,W 0-1,1
2013-08-31,Los Angeles,San Jose,MLS,W 3-0,1
2013-09-06,USA,Costa Rica,WCQ,L 3-1,0
2013-09-10,USA,Mexico,WCQ,W 2-0,1
2013-09-14,Los Angeles,DC United,MLS,D 2-2,0
2013-09-29,Los Angeles,Portland,MLS,L 1-0,0
2013-10-06,Los Angeles,Chivas USA,MLS,W 5-0,2
2013-10-11,USA,Jamaica,WCQ,W 2-0,0
2013-10-20,Los Angeles,San Jose,MLS,D 0-0,0
2013-10-27,Los Angeles,Seattle,MLS,D 1-1,0
2013-11-03,Los Angeles,Salt Lake,MLS,W 1-0,0
2013-11-07,Los Angeles,Salt Lake,MLS,L 2-0,0
2014-03-08,Los Angeles,Salt Lake,MLS,L 0-1,0
2014-03-12,Los Angeles,Tijuana,Conf CL,W 1-0,0
2014-03-18,Los Angeles,Tijuana,Conf CL,L 2-4,0
2014-03-22,Los Angeles,Real Salt Lake,MLS,D 1-1,0
