Date,Team,Opponent,Competition,Result,Goals
2002-07-07,San Jose,Los Angeles,US Open Cup,L 0-1,0
2002-07-07,San Jose,LA Galaxy,MLS,W 1-0,1
2002-07-13,San Jose,Dallas Burn,MLS,L 2-1,0
2002-07-17,San Jose,Seattle,US Open Cup,W 4-3,0
2002-07-20,San Jose,Dallas Burn,MLS,W 4-0,1
2002-07-24,San Jose,Chicago Fire,MLS,W 1-0,0
2002-07-27,San Jose,Kansas City,MLS,L 2-1,0
2002-08-02,USA,MLS All-Star,All-Star,L 2-3,1
2002-08-17,San Jose,D.C. United,MLS,D 2-2,0
2002-08-21,San Jose,Dallas Burn,MLS,W 3-1,1
2002-08-24,San Jose,Colorado,MLS,L 3-0,0
2002-08-31,San Jose,D.C. United,MLS,L 4-2,2
2002-09-14,San Jose,LA Galaxy,MLS,L 0-1,0
2002-09-21,San Jose,LA Galaxy,MLS,L 0-1,0
2002-09-25,San Jose,Columbus,MLS,L 2-1,1
2002-09-28,San Jose,Columbus,MLS,L 1-2,0
2002-09-28,San Jose,Columbus Crew,MLS,L 2-1,0
2002-11-17,USA,El Salvador,Friendly,W 2-0,0
2003-01-18,USA,Canada,Friendly,W 4-0,0
2003-02-08,USA,Argentina,Friendly,L 0-1,0
2003-02-12,USA,Jamaica,Friendly,L 1-2,0
2003-03-29,USA,Venezuela,Friendly,W 2-0,1
2003-04-12,San Jose,Colorado,MLS,W 1-2,0
2003-04-19,San Jose,Kansas City,MLS,D 1-1,0
2003-04-26,San Jose,Los Angeles,MLS,W 1-0,1
2003-05-03,San Jose,New England,MLS,W 0-2,0
2003-05-08,USA,Mexico,Friendly,D 0-0,0
2003-05-10,San Jose,Chicago,MLS,D 0-0,0
2003-05-17,San Jose,Columbus,MLS,W 4-3,1
2003-05-26,USA,Wales,Friendly,W 2-0,1
2003-05-31,San Jose,Chicago,MLS,L 1-4,0
2003-06-07,San Jose,Columbus,MLS,L 0-1,0
2003-06-19,USA,Turkey,Confederations Cup,L 2-1,0
2003-06-21,USA,Brazil,Confederations Cup,L 1-0,0
2003-06-23,USA,Cameroon,Confederations Cup,D 0-0,0
2003-06-28,San Jose,Kansas City,MLS,D 0-0,0
2003-07-02,San Jose,New York,MLS,D 4-4,1
2003-07-06,USA,Paraguay,Friendly,W 2-0,1
2003-07-11,USA,El Salvador,Gold Cup,W 2-0,0
2003-07-13,USA,Martinique,Gold Cup,W 2-0,0
2003-07-18,USA,Cuba,Gold Cup,W 5-0,4
2003-07-22,USA,Brazil,Gold Cup,L 1-2,0
2003-07-25,USA,Cosa Rica,Gold Cup,W 3-2,0
2003-08-02,MLS All-Star,Guadalajara,All-Star,W 3-1,0
2003-08-05,San Jose,Seattle,US Open Cup,L 0-1,0
2003-08-08,San Jose,Kansas City,MLS,W 0-1,1
2003-08-13,San Jose,Dallas,MLS,W 0-3,2
2003-08-16,San Jose,New England,MLS,D 1-1,0
2003-08-24,San Jose,DC United,MLS,W 1-0,0
2003-08-30,San Jose,Colorado,MLS,L 1-2,0
2003-09-07,San Jose,New England,MLS,W 2-1,1
2003-09-13,San Jose,DC United,MLS,L 2-1,0
2003-09-20,San Jose,Kansas City,MLS,W 1-4,3
2003-09-27,San Jose,Dallas,MLS,W 5-2,2
2003-10-05,San Jose,NY Red Bulls,MLS,L 0-2,0
2003-10-10,San Jose,Colorado,MLS,D 0-0,0
2003-10-18,San Jose,Los Angeles,MLS,L 3-0,0
2003-11-01,San Jose,Los Angeles,MLS,L 2-0,0
2003-11-09,San Jose,Los Angeles,MLS,W 5-2,1
2003-11-15,San Jose,Kansas City,MLS,W 3-2,1
2003-11-23,San Jose,Chicago,MLS,W 1-5,2
2004-01-18,USA,Denmark,Friendly,D 1-1,1
2004-02-17,USA,Netherlands,Friendly,L 0-1,0
2004-03-13,USA,Haiti,Friendly,D 1-1,0
2004-04-03,San Jose,DC United,MLS,L 2-1,0
2004-04-10,San Jose,Chicago,MLS,D 0-0,0
2004-04-17,San Jose,New England,MLS,W 1-3,0
2004-04-24,San Jose,Colorado,MLS,L 1-0,0
2004-04-28,USA,Mexico,Friendly,W 1-0,0
2004-05-01,San Jose,DC United,MLS,D 1-1,0
2004-05-08,San Jose,NY Red Bulls,MLS,D 5-5,1
2004-05-15,San Jose,Dallas,MLS,W 1-2,1
2004-05-22,San Jose,Los Angeles,MLS,W 4-2,0
2004-05-29,San Jose,Columbus,MLS,L 1-0,0
2004-06-02,USA,Honduras,Friendly,W 4-0,0
2004-06-13,USA,Grenada,WCQ,W 3-0,0
2004-06-20,USA,Grenada,WCQ,W 2-3,1
2004-06-26,San Jose,Kansas City,MLS,D 1-1,0
2004-07-04,San Jose,Los Angeles,MLS,L 2-1,0
2004-07-07,San Jose,Dallas,MLS,L 1-2,0
2004-07-11,USA,Poland,Friendly,D 1-1,0
2004-07-15,San Jose,Portland,US Open Cup,W 3-0,0
2004-07-17,San Jose,Colorado,MLS,W 3-1,1
2004-07-24,San Jose,New England,MLS,D 2-2,1
2004-07-31,MLS All-Star,East All-Star,All-Star,L 3-2,0
2004-08-04,San Jose,Minnesota Thunder,US Open Cup,W 2-2 5-4PK,1
2004-08-11,San Jose,Chicago,MLS,L 1-2,
2004-08-14,San Jose,Kansas City,MLS,W 0-2,2
2004-08-18,USA,Jamaica,WCQ,D 1-1,0
2004-08-21,San Jose,Dallas,MLS,W 3-0,0
2004-08-24,San Jose,Kansas City,US Open Cup,L 1-0,0
2004-08-28,San Jose,Colorado,MLS,D 0-0,0
2004-09-04,USA,El Salvador,WCQ,W 2-0,1
2004-09-08,USA,Panama,WCQ,D 1-1,0
2004-09-11,San Jose,Los Angeles,MLS,L 2-1,0
2004-09-18,San Jose,Kansas City,MLS,L 1-0,0
2004-09-25,San Jose,Los Angeles,MLS,D 0-0,0
2004-10-02,San Jose,Colorado,MLS,D 1-1,0
2004-10-09,USA,El Salvador,WCQ,W 0-2,0
2004-10-13,USA,Panama,WCQ,W 6-0,2
2004-10-16,San Jose,Dallas,MLS,D 2-2,0
2004-10-24,San Jose,Kansas City,MLS,W 2-0,0
2004-10-30,San Jose,Kansas City,MLS,L 3-0,0
2004-11-17,USA,Jamaica,WCQ,D 1-1,0
2005-01-23,Leverkusen,Hannover 96,Bundesliga,W 0-3,0
2005-01-29,Leverkusen,VfL Bochum,Bundesliga,W 4-0,0
2005-02-05,Leverkusen,Bayern,Bundesliga,L 2-0,0
2005-02-09,USA,Trin & Tob,WCQ,W 1-2,0
2005-02-13,Leverkusen,Mainz,Bundesliga,W 2-0,0
2005-02-19,Leverkusen,Nurnberg,Bundesliga,W 2-4,0
2005-02-22,Leverkusen,Liverpool,UCL,L 3-1,0
2005-02-27,Leverkusen,Stuttgart,Bundesliga,D 1-1,0
2005-03-05,Leverkusen,Hamburg SV,Bundesliga,L 1-0,0
2005-03-09,Leverkusen,Liverpool,UCL,L 1-3,0
2005-03-27,USA,Mexico,WCQ,L 2-1,0
2005-03-30,USA,Guatemala,WCQ,W 2-0,0
2005-04-09,Los Angeles,Salt Lake,MLS,W 3-1,2
2005-04-23,Los Angeles,Chivas USA,MLS,W 3-1,0
2005-04-30,Los Angeles,Dallas,MLS,W 2-0,1
2005-05-08,Los Angeles,Colorado,MLS,W 3-2,2
2005-05-14,Los Angeles,Salt Lake,MLS,L 2-1,0
2005-05-21,Los Angeles,San Jose,MLS,W 2-1,0
2005-05-28,USA,England,Friendly,L 1-2,0
2005-06-04,USA,Costa Rica,WCQ,W 3-0,2
2005-06-08,USA,Panama,WCQ,W 3-0,1
2005-06-11,Los Angeles,Salt Lake,MLS,W 1-0,1
2005-06-15,Los Angeles,Colorado,MLS,L 1-0,0
2005-06-18,Los Angeles,Dallas,MLS,L 1-0,0
2005-06-22,Los Angeles,Salt Lake,MLS,D 1-1,0
2005-06-25,Los Angeles,San Jose,MLS,L 3-0,0
2005-07-07,USA,Cuba,Gold Cup,W 4-1,2
2005-07-09,USA,Canada,Gold Cup,W 2-0,1
2005-07-11,USA,Costa Rica,Gold Cup,D 0-0,0
2005-07-16,USA,Jamaica,Gold Cup,W 3-1,0
2005-07-21,USA,Honduras,Gold Cup,W 2-1,0
2005-07-24,USA,Panama,Gold Cup,W 0-0,0
2005-07-27,Los Angeles,New England,MLS,D 1-1,0
2005-07-30,MLS All-Star,Fulham,All-Star,W 4-1,0
2005-08-03,Los Angeles,Chivas USA,US Open Cup,W 5-2,1
2005-08-06,Los Angeles,Colorado,MLS,L 2-0,0
2005-08-10,Los Angeles,Chivas USA,MLS,W 1-0,1
2005-08-13,Los Angeles,Chicago,MLS,L 1-2,0
2005-08-17,USA,Trin & Tob,WCQ,W 1-0,0
2005-08-20,Los Angeles,DC United,MLS,W 2-3,2
2005-08-27,Los Angeles,San Jose,MLS,L 2-1,1
2005-09-03,USA,Mexico,WCQ,W 2-0,0
2005-09-07,USA,Guatemala,WCQ,D 0-0,0
2005-09-10,Los Angeles,Colorado,MLS,W 4-1,1
2005-09-14,Los Angeles,Minnesota Thunder,US Open Cup,W 5-2,1
2005-09-17,Los Angeles,Kansas City,MLS,D 2-2,0
2005-09-21,Los Angeles,Dallas,MLS,L 4-1,0
2005-09-25,Los Angeles,Kansas City,MLS,W 2-1,0
2005-09-28,Los Angeles,Dallas,US Open Cup,W 1-0,0
2005-10-15,Los Angeles,San Jose,MLS,L 1-3,1
2005-10-23,Los Angeles,San Jose,MLS,W 3-1,2
2005-10-29,Los Angeles,San Jose,MLS,D 1-1,0
2005-11-05,Los Angeles,Colorado,MLS,W 0-2,2
2005-11-13,Los Angeles,New England,MLS,W 0-1,0
2006-01-21,USA,Canada,Friendly,D 0-0,0
2006-01-28,USA,Norway,Friendly,W 5-0,0
2006-02-09,USA,Japan,Friendly,W 3-2,0
2006-03-01,USA,Poland,Friendly,W 1-0,0
2006-04-01,Los Angeles,New England,MLS,L 0-1,0
2006-04-08,Los Angeles,Chicago,MLS,D 1-1,0
2006-04-12,USA,Jamaica,Friendly,D 1-1,0
